,id,title,runtime,original_language,budget,release_date,revenue,vote_average,popularity
370,85220,The Thieving Hand,5.0,en,0,1908-02-01,0.0,6.4,0.188317
371,17381,BMX Bandits,88.0,en,980385,1983-12-29,0.0,6.1,7.798806
372,55952,Xtro 2: The Second Encounter,92.0,en,0,1990-05-04,0.0,4.0,1.24306
373,36334,Deadline - U.S.A.,87.0,en,0,1952-03-14,0.0,6.9,2.020902
374,9604,Red Heat,104.0,en,29000000,1988-06-17,34994648.0,5.8,14.25013
375,20405,Puccini for Beginners,82.0,en,0,2006-01-01,89417.0,6.1,1.610123
376,9337,Girls on Top,90.0,de,0,2001-03-29,0.0,4.9,1.416551
377,10785,The Thing from Another World,87.0,en,0,1951-04-29,0.0,6.9,5.466036
378,22984,The Kids Are Alright,101.0,en,2000000,1979-06-24,0.0,6.9,1.653741
379,13348,Helvetica,80.0,en,0,2007-09-12,0.0,7.3,4.776619
380,25391,Cyborg 3: The Recycler,90.0,en,0,1995-12-19,0.0,2.5,1.103932
381,163706,Chronicle of a Death Foretold,109.0,it,0,1987-05-07,0.0,6.6,1.389198
382,120115,The Origin of Stitch,4.0,en,0,2005-08-30,0.0,6.0,0.203822
383,71805,Shipwrecked,92.0,en,0,1990-10-03,0.0,6.1,0.792706
384,102000,Sister,100.0,fr,0,2012-02-13,0.0,6.8,9.313199
385,57387,In Your Hands,85.0,fr,0,2010-11-04,0.0,6.1,0.460063
386,85505,Min and Bill,66.0,en,0,1930-11-29,0.0,6.0,0.336991
387,37211,Scooby-Doo! and the Reluctant Werewolf,80.0,en,0,1988-01-01,0.0,6.3,2.374519
388,84465,Made For Each Other,100.0,en,0,1971-12-12,0.0,6.0,0.035376
389,12230,One Hundred and One Dalmatians,79.0,en,4000000,1961-01-25,215880014.0,6.8,15.727519
390,12812,Wild Side,110.0,fr,0,2004-02-08,0.0,6.9,0.516347
391,5742,"Cherry, Harry & Raquel!",71.0,en,90000,1970-04-22,0.0,7.1,1.164316
392,38344,On a Clear Day,98.0,en,0,2005-08-18,0.0,6.4,0.662855
393,67276,Absurda,2.0,en,0,2007-05-16,0.0,6.8,0.581896
394,301339,Coming Through The Rye,97.0,en,0,2016-10-13,0.0,6.8,0.568526
395,24091,Crush,82.0,en,0,2009-04-01,0.0,3.3,1.682406
396,301875,Equals,101.0,en,16000000,2015-07-15,2084628.0,5.9,19.803969
397,34838,The Tango Lesson,100.0,en,0,1997-11-28,0.0,6.4,0.192391
398,77460,Beur sur la ville,99.0,fr,0,2011-10-11,0.0,4.4,1.45553
399,338309,The Spin Kid,0.0,en,0,2011-11-11,0.0,5.5,0.048028
400,222885,Design Is One,80.0,en,0,2012-10-18,0.0,6.2,0.126686
401,181283,Child 44,137.0,en,50000000,2015-03-15,3324330.0,6.1,17.608346
402,145059,There's Only One Sun,9.0,en,0,2007-01-01,0.0,5.9,1.388705
403,97683,Fat Kid Rules The World,98.0,en,0,2012-10-05,0.0,6.3,1.150293
404,52204,The Brain Eaters,62.0,en,0,1958-09-01,0.0,6.5,0.100607
405,88320,A Woman's Vengeance,96.0,en,0,1948-01-29,0.0,6.0,0.058827
406,173847,Amiche da morire,0.0,en,0,2013-03-07,0.0,6.2,2.572216
